id,date,subject,counterbalance,condition,session,trial,side_dropped_stone,got_two_rewards,platforms_stabilized,comment
1,09.05.2022,medina,testfirst,test,1,1,left,yes,two,
2,09.05.2022,medina,testfirst,test,1,2,right,yes,two,
3,09.05.2022,medina,testfirst,test,1,3,left,yes,two,
4,09.05.2022,medina,testfirst,test,1,4,left,yes,two,
5,09.05.2022,medina,testfirst,test,1,5,right,yes,two,
6,09.05.2022,medina,testfirst,test,1,6,right,yes,two,
7,09.05.2022,medina,testfirst,test,1,7,right,yes,two,
8,09.05.2022,medina,testfirst,test,1,8,left,yes,two,
9,09.05.2022,medina,testfirst,test,2,1,right,yes,two,
10,09.05.2022,medina,testfirst,test,2,2,left,yes,two,
11,09.05.2022,medina,testfirst,test,2,3,left,yes,two,
12,10.05.2022,medina,testfirst,test,2,4,left,yes,two,
13,10.05.2022,medina,testfirst,test,2,5,right,yes,two,
14,10.05.2022,medina,testfirst,test,2,6,left,yes,two,
15,10.05.2022,medina,testfirst,test,2,7,left,yes,two,
16,10.05.2022,medina,testfirst,test,2,8,left,yes,two,
17,11.05.2022,medina,testfirst,control,3,1,right,yes,two,but two on the side that is in danger
18,11.05.2022,medina,testfirst,control,3,2,right,yes,two,but two on the side that is in danger
19,11.05.2022,medina,testfirst,control,3,3,right,yes,two,but two on the side that is in danger
20,11.05.2022,medina,testfirst,control,3,4,right,yes,two,but two on the side that is in danger
21,11.05.2022,medina,testfirst,control,3,5,right,yes,two,but two on the side that is in danger
22,11.05.2022,medina,testfirst,control,3,6,right,yes,two,
23,11.05.2022,medina,testfirst,control,3,7,right,yes,two,but two on the side that is in danger
24,11.05.2022,medina,testfirst,control,3,8,right,yes,two,but two on the side that is in danger
25,12.05.2022,medina,testfirst,control,4,1,left,yes,two,but two on the side that is in danger
26,12.05.2022,medina,testfirst,control,4,2,left,yes,two,but two on the side that is in danger
27,12.05.2022,medina,testfirst,control,4,3,left,yes,one,
28,12.05.2022,medina,testfirst,control,4,4,left,yes,one,
